Step,Time_hr,Target_Q,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
1,1.0,130.0,10.0,15.199805799971205,435.7929025914046,308.1503930741396,2764.1456021983786
2,2.0,130.0,15.0,21.38478753512487,428.7983472888242,300.96144401655556,2746.3146245675466
3,3.0,130.0,20.0,27.87165223795767,421.6682038402606,293.9284652235378,2729.4537992700716
4,4.0,130.0,25.0,36.53486361008184,411.203722594247,287.26860077557274,2716.461460151681
5,5.0,130.0,30.0,44.263947259279576,403.46309139855384,279.1442832558069,2696.895227643108
6,6.0,130.0,35.0,54.054165677428145,393.8304736074085,271.80572291656534,2676.5807331125175
7,7.0,130.0,40.0,64.19797927818165,388.14460223203014,264.3909483391097,2644.2265846006485
8,8.0,130.0,45.0,72.80588847226004,378.6140881691329,257.2127889837934,2633.3683459981476
9,9.0,130.0,50.0,81.98165170321526,370.76602549124254,250.38082653184412,2604.295344776631
10,10.0,130.0,55.0,90.30059966503683,361.3617065680001,243.39274409436848,2584.3541844922593
11,11.0,130.0,60.0,99.21888191135355,355.66339027217776,235.91949870468176,2555.647443566431
12,12.0,130.0,65.0,108.61756126335096,346.37907185473375,227.80013580230175,2540.390070291938
13,13.0,130.0,70.0,116.09662949914836,338.5814475921783,222.96444694952848,2509.7686144634486
14,14.0,130.0,75.0,123.28847941057306,331.29227317762593,216.2924172349834,2494.6663014136584
15,15.0,130.0,76.0,129.5955263414361,325.611885672047,211.8006621094834,2482.6619178328597
16,16.0,130.0,76.0,133.59125785200027,321.3900202255544,209.25065774199217,2465.960338850045
17,17.0,130.0,71.0,135.13293111726682,325.4934879093276,211.45543619658287,2459.1342363389113
18,18.0,130.0,66.0,134.26582527794304,328.75668089875927,213.709226524738,2455.5366922183753
19,19.0,130.0,66.0,133.54242113297636,328.9971541159008,216.3185199408154,2458.164704008727
20,20.0,130.0,66.0,132.76809585439742,331.9244054141038,217.02091825477734,2457.3127631720213
21,21.0,130.0,66.0,131.62911880842955,334.1056792344487,218.76462795610016,2453.9567417960902
22,22.0,130.0,66.0,131.24472277014618,333.18960923188695,217.60372898137823,2459.029384021123
23,23.0,130.0,66.0,132.48880463927256,332.9153097645727,218.22613998356118,2457.1292993126667
24,24.0,130.0,66.0,131.58998670898706,333.38974092070595,220.02374089978167,2462.3668904231654
25,25.0,130.0,66.0,131.37168741644786,334.12564889166384,218.63673883795266,2453.339652393012
26,26.0,130.0,66.0,131.35429398659412,334.28008012791554,218.03409269725478,2461.710986097416
27,27.0,130.0,66.0,131.1286131937539,333.1550503662776,217.52145271387647,2465.610962536861
28,28.0,130.0,66.0,131.68966497563082,334.35570267996263,218.19905487977258,2453.189152861017
29,29.0,130.0,66.0,132.26249332426622,332.304889853717,220.100802668163,2457.669947122177
30,30.0,130.0,66.0,132.5686776819878,332.29250798683773,217.03064695129873,2460.6792059704335
31,31.0,130.0,66.0,131.19730742219662,333.16905660613753,219.5645303986574,2455.1227195095566
32,32.0,130.0,66.0,130.20364145645615,331.7732186728389,217.10815286346042,2451.860112983748
33,33.0,130.0,66.0,130.20226902894896,332.00837081990807,218.20986987173967,2453.9244794782635
34,34.0,130.0,66.0,131.10436062164288,334.0557829547766,218.3968101088673,2459.491362711403
35,35.0,130.0,66.0,130.4536587175096,333.46353497971063,218.9873645157548,2455.6394909101377
36,36.0,130.0,66.0,129.9240693865557,332.83961978590236,218.5178616046357,2462.702778758798
37,37.0,130.0,66.0,130.77986371480102,334.9629241220745,216.33720395619102,2456.505909564354
38,38.0,130.0,66.0,130.6867901185213,332.5141731396544,217.98758021621077,2457.322170211371
39,39.0,130.0,66.0,132.36252017378675,332.77188124614395,219.51318372659185,2457.129413179624
40,40.0,130.0,66.0,131.14183228981156,330.1276830772038,218.5265170896684,2459.5435894626376
41,41.0,130.0,66.0,130.15342121918982,332.2195662049562,217.68636019509606,2464.760425347993
42,42.0,130.0,66.0,130.27376290224097,332.0837248495945,216.029879332872,2451.956110897598
43,43.0,130.0,66.0,131.20754109855227,331.4170074461455,215.98309470239704,2456.381721829531
44,44.0,130.0,66.0,131.11933570438785,333.23977629540445,218.75826857598818,2455.271688857473
45,45.0,130.0,66.0,133.24742815340772,332.2629322044163,218.8224873122881,2452.98146310595
46,46.0,130.0,66.0,130.54521177044103,331.1132047481261,218.62105995281985,2455.9896795981313
47,47.0,130.0,66.0,130.24487401618794,330.55004695638587,218.92133279249714,2460.204652076417
48,48.0,130.0,66.0,131.69937020737146,332.8260843009616,219.05441991405596,2460.5601358635713
49,49.0,130.0,66.0,131.45144132273674,334.643605561395,218.30799122349129,2458.1776559702275
50,50.0,130.0,66.0,129.86147680024862,335.4453380626177,217.8020586028884,2458.6599776964667
51,51.0,130.0,66.0,131.57684164541138,332.0276805166853,218.448131667987,2459.9803428441505
52,52.0,130.0,66.0,131.01784201753694,332.6501437084341,218.21686553355607,2455.189404053374
53,53.0,130.0,66.0,130.967418188655,333.4580958271237,218.91415742856597,2461.467869194085
54,54.0,130.0,66.0,131.1517925104541,332.42953234578476,219.26897285289036,2458.9345279632157
55,55.0,130.0,66.0,131.91206035120143,333.2730423294322,219.00408865223076,2459.1168067441317
56,56.0,130.0,66.0,131.70484251028375,331.90422312165595,218.44247258541208,2458.4035166975355
57,57.0,130.0,66.0,132.48841037873527,332.9806225277984,218.94751934832175,2457.174545720079
58,58.0,130.0,66.0,129.500306954931,334.545736899403,219.14308157789233,2462.113727163329
59,59.0,130.0,66.0,130.057462956786,333.40442301385707,218.69673135497501,2452.373747274645
60,60.0,130.0,66.0,131.5027948158114,332.34810550508996,218.9783079508028,2452.04879479309
