step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
1,1.0,5.0,10.0,5.0,130.0,15.141399450781398,434.39539410012446,306.3490517532376,2759.8878981559915,11.192329240747574,438.7549704317067,310.39637526841375,2768.9344154973805,-114.85860054921861,12514.389160403769,11,0,"TRACKING CORRECTION: err=-114.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=10.0% (move +5.0%) -> pred_Q=15.1 bbl/hr. WHP=434.4, FLP=306.3, BHP=2759.9 psi.",none
2,2.0,10.0,15.0,5.0,130.0,19.83787430854158,430.3112700608837,302.977197963105,2752.743626302439,15.199805799971205,435.7929025914046,308.1503930741396,2764.1456021983786,-110.16212569145841,11485.690430607885,11,0,"TRACKING CORRECTION: err=-110.2 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=15.0% (move +5.0%) -> pred_Q=19.8 bbl/hr. WHP=430.3, FLP=303.0, BHP=2752.7 psi.",none
3,3.0,15.0,20.0,5.0,130.0,26.38974652070332,423.10115027208604,295.84271663010844,2734.3110619595623,21.38478753512487,428.7983472888242,300.96144401655556,2746.3146245675466,-103.61025347929669,10124.290406617401,11,0,"TRACKING CORRECTION: err=-103.6 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=20.0% (move +5.0%) -> pred_Q=26.4 bbl/hr. WHP=423.1, FLP=295.8, BHP=2734.3 psi.",none
4,4.0,20.0,25.0,5.0,130.0,33.19884561147926,415.785922166896,288.8269611614669,2716.718186721921,27.87165223795767,421.6682038402606,293.9284652235378,2729.4537992700716,-96.80115438852074,8800.456220185724,11,0,"TRACKING CORRECTION: err=-96.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=25.0% (move +5.0%) -> pred_Q=33.2 bbl/hr. WHP=415.8, FLP=288.8, BHP=2716.7 psi.",none
5,5.0,25.0,30.0,5.0,130.0,41.862354922308604,405.8859059179315,282.0952234396878,2702.473575036966,36.53486361008184,411.203722594247,287.26860077557274,2716.461460151681,-88.13764507769139,7250.166149836117,11,0,"TRACKING CORRECTION: err=-88.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=30.0% (move +5.0%) -> pred_Q=41.9 bbl/hr. WHP=405.9, FLP=282.1, BHP=2702.5 psi.",none
6,6.0,30.0,35.0,5.0,130.0,49.729917511656296,398.0974259748782,274.24873184324895,2682.5391077809604,44.263947259279576,403.46309139855384,279.1442832558069,2696.895227643108,-80.2700824883437,5972.379557774727,11,0,"TRACKING CORRECTION: err=-80.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=35.0% (move +5.0%) -> pred_Q=49.7 bbl/hr. WHP=398.1, FLP=274.2, BHP=2682.5 psi.",none
7,7.0,35.0,40.0,5.0,130.0,59.35372116056568,388.8422726420308,267.00036515664704,2661.9570025755875,54.054165677428145,393.8304736074085,271.80572291656534,2676.5807331125175,-70.64627883943433,4577.70905601829,11,0,"TRACKING CORRECTION: err=-70.6 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=40.0% (move +5.0%) -> pred_Q=59.4 bbl/hr. WHP=388.8, FLP=267.0, BHP=2662.0 psi.",none
8,8.0,40.0,45.0,5.0,130.0,69.27881436487377,382.6466483556285,259.69398355718135,2630.9543005924806,64.19797927818165,388.14460223203014,264.3909483391097,2644.2265846006485,-60.72118563512623,3333.4122421370867,11,0,"TRACKING CORRECTION: err=-60.7 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move +5.0%) -> pred_Q=69.3 bbl/hr. WHP=382.6, FLP=259.7, BHP=2631.0 psi.",none
9,9.0,45.0,50.0,5.0,130.0,77.89520208170049,373.47064612331224,252.56771543541086,2618.556801872219,72.80588847226004,378.6140881691329,257.2127889837934,2633.3683459981476,-52.10479791829951,2412.948341458228,11,0,"TRACKING CORRECTION: err=-52.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=50.0% (move +5.0%) -> pred_Q=77.9 bbl/hr. WHP=373.5, FLP=252.6, BHP=2618.6 psi.",none
10,10.0,50.0,55.0,5.0,130.0,86.99544393093244,365.5988849897138,245.70497527971514,2590.394008156765,81.98165170321526,370.76602549124254,250.38082653184412,2604.295344776631,-43.00455606906756,1602.02775916395,11,0,"TRACKING CORRECTION: err=-43.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=55.0% (move +5.0%) -> pred_Q=87.0 bbl/hr. WHP=365.6, FLP=245.7, BHP=2590.4 psi.",none
11,11.0,55.0,60.0,5.0,130.0,95.36561505466891,356.5207095885695,238.7233952908226,2570.135032307868,90.30059966503683,361.3617065680001,243.39274409436848,2584.3541844922593,-34.63438494533109,1002.3977658026566,11,0,"TRACKING CORRECTION: err=-34.6 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=60.0% (move +5.0%) -> pred_Q=95.4 bbl/hr. WHP=356.5, FLP=238.7, BHP=2570.1 psi.",none
12,12.0,60.0,65.0,5.0,130.0,104.24646383747431,350.3154379644444,231.3725052221242,2542.2892452823903,99.21888191135355,355.66339027217776,235.91949870468176,2555.647443566431,-25.75353616252569,519.3929631951744,11,0,"TRACKING CORRECTION: err=-25.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=65.0% (move +5.0%) -> pred_Q=104.2 bbl/hr. WHP=350.3, FLP=231.4, BHP=2542.3 psi.",none
