Step,Time_hr,Target_Q,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
1,1.0,100.0,10.0,15.586035827414685,434.9214522032997,306.80079784643,2757.1219792089546
2,2.0,100.0,15.0,20.065439973858513,430.31761428118523,301.7935663649428,2748.744263664765
3,3.0,100.0,20.0,27.514163841164404,420.28254070060035,293.8940678762159,2729.6086371249976
4,4.0,100.0,25.0,36.681632002290485,413.3004472454462,287.1592088973441,2713.267971149811
5,5.0,100.0,30.0,43.860445103307256,406.1225955394288,278.84959975765486,2693.9197338642334
6,6.0,100.0,35.0,55.85331612678291,392.85450377998444,271.013489738381,2669.659314918031
7,7.0,100.0,40.0,63.51637043843562,385.16779055149476,264.4689511444929,2649.767279802739
8,8.0,100.0,45.0,72.8313723026398,375.7918665607815,257.7888332630194,2632.7722706430313
9,9.0,100.0,50.0,82.205456478083,369.395356266208,249.3410006071172,2595.1820291162066
10,10.0,100.0,55.0,91.21573403913136,363.87540406393424,243.34368906145068,2571.4645324030735
11,11.0,100.0,60.0,99.24133678186304,353.9788899451741,235.37952113386916,2563.3055181717864
12,12.0,100.0,60.0,104.45432327477623,348.4073219885924,232.3666597102401,2545.8714315406414
13,13.0,100.0,55.0,108.1623931892155,350.604269903245,232.86331971082387,2529.8599990986004
14,14.0,100.0,50.0,108.20756612847244,351.8728281369237,234.1896688311209,2533.069179568668
15,15.0,100.0,45.0,105.49434564420379,358.73439977712746,241.45229736128908,2535.69440718407
16,16.0,100.0,45.0,99.82830852228892,361.4950156637203,243.50643857087556,2528.502115545369
17,17.0,100.0,45.0,99.67192579046953,361.5009291848407,245.9319048093336,2540.295345912494
18,18.0,100.0,45.0,99.28058812007814,363.9866129927715,244.7066615955929,2534.63923711363
19,19.0,100.0,45.0,98.26273172573518,364.0340173951318,246.41981999026675,2542.214629515032
20,20.0,100.0,45.0,97.22647760148797,365.4712401339923,246.90981171284432,2541.6170550899305
21,21.0,100.0,45.0,95.68259261950594,361.9510841859176,245.61523229388303,2544.0397628436494
22,22.0,100.0,48.0,99.15091248737335,362.77851212319507,245.7955326699157,2546.1748991786676
23,23.0,100.0,48.0,101.19974038166775,362.5493616651965,245.54080456721908,2541.01342011211
24,24.0,100.0,48.0,98.93101672815224,358.82651807572296,243.8952106263617,2541.8082589071446
25,25.0,100.0,48.0,102.34625173842889,360.3529488092369,243.74286437390552,2537.1291951475177
26,26.0,100.0,48.0,98.79736236613316,361.36419127194193,242.82511952296497,2532.1607894925055
27,27.0,100.0,48.0,102.27268750148544,360.02810363906644,243.4293900238744,2534.9932792231275
28,28.0,100.0,48.0,100.51426199250608,360.47867396504626,243.65958401812668,2532.9576326141387
29,29.0,100.0,48.0,99.88458031206069,362.78213043441406,243.30593086720197,2531.587659938331
30,30.0,100.0,48.0,101.21715169580463,358.7162156318186,242.83156035027582,2537.623029261866
31,31.0,150.0,53.0,102.26130286532346,358.4755635313645,240.63223257220997,2528.4603671463055
