step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
1,1.0,5.0,10.0,5.0,100.0,4.3077722770271105,449.01752777858934,322.3144003737235,2780.8416198195914,11.651548343724881,440.94012100897555,312.608746923623,2768.2428028692134,-95.69222772297289,8594.559077390753,11,0,"TRACKING CORRECTION: err=-95.7 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=10.0% (move +5.0%) -> pred_Q=4.3 bbl/hr. WHP=449.0, FLP=322.3, BHP=2780.8 psi.",none
2,2.0,10.0,15.0,5.0,100.0,20.143924783476066,429.6057438063963,302.0278992477061,2746.589883521582,15.586035827414685,434.9214522032997,306.80079784643,2757.1219792089546,-79.85607521652393,5908.811024270636,11,0,"TRACKING CORRECTION: err=-79.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=15.0% (move +5.0%) -> pred_Q=20.1 bbl/hr. WHP=429.6, FLP=302.0, BHP=2746.6 psi.",none
3,3.0,15.0,20.0,5.0,100.0,25.234791535396695,424.2496482351349,296.5689748727074,2736.3704879279576,20.065439973858513,430.31761428118523,301.7935663649428,2748.744263664765,-74.7652084646033,5152.123304612841,11,0,"TRACKING CORRECTION: err=-74.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=20.0% (move +5.0%) -> pred_Q=25.2 bbl/hr. WHP=424.2, FLP=296.6, BHP=2736.4 psi.",none
4,4.0,20.0,25.0,5.0,100.0,32.860028551378164,414.68105593018237,288.88888070334224,2716.8239105668977,27.514163841164404,420.28254070060035,293.8940678762159,2729.6086371249976,-67.13997144862184,4115.7318880255425,11,0,"TRACKING CORRECTION: err=-67.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=25.0% (move +5.0%) -> pred_Q=32.9 bbl/hr. WHP=414.7, FLP=288.9, BHP=2716.8 psi.",none
5,5.0,25.0,30.0,5.0,100.0,41.952246168733716,407.4803720746347,282.1031929266582,2699.7005829640266,36.681632002290485,413.3004472454462,287.1592088973441,2713.267971149811,-58.047753831266284,3032.0065486886606,11,0,"TRACKING CORRECTION: err=-58.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=30.0% (move +5.0%) -> pred_Q=42.0 bbl/hr. WHP=407.5, FLP=282.1, BHP=2699.7 psi.",none
6,6.0,30.0,35.0,5.0,100.0,49.34710926599335,400.1278570255595,274.1081467186377,2679.9696706449345,43.860445103307256,406.1225955394288,278.84959975765486,2693.9197338642334,-50.65289073400665,2272.5151805091577,11,0,"TRACKING CORRECTION: err=-50.7 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=35.0% (move +5.0%) -> pred_Q=49.3 bbl/hr. WHP=400.1, FLP=274.1, BHP=2680.0 psi.",none
7,7.0,35.0,40.0,5.0,100.0,60.850861400168206,388.05171775067026,266.4767328935519,2655.9798635234824,55.85331612678291,392.85450377998444,271.013489738381,2669.659314918031,-39.149138599831794,1308.448657667834,11,0,"TRACKING CORRECTION: err=-39.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=40.0% (move +5.0%) -> pred_Q=60.9 bbl/hr. WHP=388.1, FLP=266.5, BHP=2656.0 psi.",none
8,8.0,40.0,45.0,5.0,100.0,68.65903348407758,380.3045268605694,259.8372051668632,2635.777474799298,63.51637043843562,385.16779055149476,264.4689511444929,2649.767279802739,-31.340966515922418,804.8854216038723,11,0,"TRACKING CORRECTION: err=-31.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move +5.0%) -> pred_Q=68.7 bbl/hr. WHP=380.3, FLP=259.8, BHP=2635.8 psi.",none
9,9.0,45.0,50.0,5.0,100.0,77.87717389358008,371.2471746617275,253.09355682559342,2618.0868272192665,72.8313723026398,375.7918665607815,257.7888332630194,2632.7722706430313,-22.12282610641992,367.34837979226626,11,0,"TRACKING CORRECTION: err=-22.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=50.0% (move +5.0%) -> pred_Q=77.9 bbl/hr. WHP=371.2, FLP=253.1, BHP=2618.1 psi.",none
10,10.0,50.0,55.0,5.0,100.0,87.14574216764834,364.5006723785451,244.99235931884616,2582.539973549628,82.205456478083,369.395356266208,249.3410006071172,2595.1820291162066,-12.854257832351664,98.76939684338953,11,0,"TRACKING CORRECTION: err=-12.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=55.0% (move +5.0%) -> pred_Q=87.1 bbl/hr. WHP=364.5, FLP=245.0, BHP=2582.5 psi.",none
