step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
1,1.0,5.0,10.0,5.0,300.0,3.1252863613602315,451.9123350065599,323.3876591005503,2785.1869070761977,13.334712914534503,440.5169400640434,310.2271000641981,2767.2579844272304,-296.8747136386398,86365.22390126788,11,0,"TRACKING CORRECTION: err=-296.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=10.0% (move +5.0%) -> pred_Q=3.1 bbl/hr. WHP=451.9, FLP=323.4, BHP=2785.2 psi.",none
2,2.0,10.0,15.0,5.0,300.0,19.811869537147636,432.3912346744559,301.7534480513582,2754.3123901777053,15.16928644832135,438.47602563384686,306.54275181976794,2765.9581062842185,-280.18813046285237,76835.23594682496,11,0,"TRACKING CORRECTION: err=-280.2 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=15.0% (move +5.0%) -> pred_Q=19.8 bbl/hr. WHP=432.4, FLP=301.8, BHP=2754.3 psi.",none
3,3.0,15.0,20.0,5.0,300.0,26.14979971166705,424.47104756719824,296.35800803992095,2737.9692334142906,21.103184558067216,430.5654941788774,301.63838276072704,2750.541169309517,-273.8502002883329,73361.7091906372,11,0,"TRACKING CORRECTION: err=-273.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=20.0% (move +5.0%) -> pred_Q=26.1 bbl/hr. WHP=424.5, FLP=296.4, BHP=2738.0 psi.",none
4,4.0,20.0,25.0,5.0,300.0,33.76803904390516,415.9356158093343,289.9392233016982,2721.2140700429186,28.539660975963308,421.8613063857138,295.3896449017933,2734.6482119010902,-266.23196095609484,69292.87023103067,11,0,"TRACKING CORRECTION: err=-266.2 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=25.0% (move +5.0%) -> pred_Q=33.8 bbl/hr. WHP=415.9, FLP=289.9, BHP=2721.2 psi.",none
5,5.0,25.0,30.0,5.0,300.0,42.494331204983084,409.28978514379673,282.15600691355615,2700.616427929549,37.276554667969855,415.5946755580688,287.3484520746305,2714.315766479567,-257.5056687950169,64774.891696288396,11,0,"TRACKING CORRECTION: err=-257.5 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=30.0% (move +5.0%) -> pred_Q=42.5 bbl/hr. WHP=409.3, FLP=282.2, BHP=2700.6 psi.",none
6,6.0,30.0,35.0,5.0,300.0,50.68154678632192,397.5908667784102,274.98096437378274,2678.9879441779767,45.38078493625217,402.8096376601895,280.10621772671414,2692.792316656072,-249.31845321367808,60674.494709159124,11,0,"TRACKING CORRECTION: err=-249.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=35.0% (move +5.0%) -> pred_Q=50.7 bbl/hr. WHP=397.6, FLP=275.0, BHP=2679.0 psi.",none
7,7.0,35.0,40.0,5.0,300.0,58.88125972063256,389.11283123267543,267.13652049769917,2660.4301858367535,53.499682171002355,394.17949011670504,271.9845902988445,2674.8166935262566,-241.11874027936744,56702.224936266735,11,0,"TRACKING CORRECTION: err=-241.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=40.0% (move +5.0%) -> pred_Q=58.9 bbl/hr. WHP=389.1, FLP=267.1, BHP=2660.4 psi.",none
8,8.0,40.0,45.0,5.0,300.0,68.24813151596426,381.21419979595925,259.47168201646366,2636.0846366047426,62.988363864578425,386.2967651522632,264.0989106242648,2650.1540253905378,-231.75186848403575,52329.09293442506,11,0,"TRACKING CORRECTION: err=-231.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=45.0% (move +5.0%) -> pred_Q=68.2 bbl/hr. WHP=381.2, FLP=259.5, BHP=2636.1 psi.",none
9,9.0,45.0,50.0,5.0,300.0,76.98966250296714,373.1374857642381,251.7783402893964,2613.5026057453697,71.74314193172863,378.1843163208874,256.1757862124535,2627.528875014028,-223.01033749703288,48406.21543595485,11,0,"TRACKING CORRECTION: err=-223.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=50.0% (move +5.0%) -> pred_Q=77.0 bbl/hr. WHP=373.1, FLP=251.8, BHP=2613.5 psi.",none
10,10.0,50.0,55.0,5.0,300.0,88.05945584842559,365.49571087626913,246.65499082432342,2589.0715013877552,83.23038230644492,370.6329324379471,251.62886272547007,2602.767358978275,-211.94054415157441,43657.81398152701,11,0,"TRACKING CORRECTION: err=-211.9 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=55.0% (move +5.0%) -> pred_Q=88.1 bbl/hr. WHP=365.5, FLP=246.7, BHP=2589.1 psi.",none
